hotel,lead_time,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,is_canceled
City Hotel,244,July,28,6,2,4,0,0.0,0,SC,PRT,Offline TA/TO,TA/TO,1,1,0,E,E,0,No Deposit,19.0,,0,Transient,0.0,0,0,1
City Hotel,211,May,21,20,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,111,Transient,100.0,0,0,1
City Hotel,227,June,22,1,0,3,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,157.5,0,2,0
City Hotel,301,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,1
Resort Hotel,17,June,23,9,2,3,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,E,E,1,No Deposit,250.0,,0,Transient,223.0,0,0,1
Resort Hotel,67,July,30,29,2,1,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,225.0,0,1,1
Resort Hotel,152,July,29,16,2,1,2,2.0,0,BB,LUX,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240.0,,0,Transient,214.0,1,2,0
City Hotel,4,January,2,4,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,4,A,A,0,No Deposit,,40.0,0,Transient,66.0,0,0,0
City Hotel,118,June,22,1,0,3,3,0.0,0,HB,CHE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,208.2,0,2,0
City Hotel,240,October,44,27,1,3,2,0.0,0,SC,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.75,0,0,1
City Hotel,53,July,28,9,1,1,3,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,148.5,0,0,1
Resort Hotel,239,September,38,19,1,1,2,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,248.0,,0,Transient-Party,80.0,0,0,0
Resort Hotel,33,March,10,1,2,6,1,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,50.0,0,0,1
Resort Hotel,169,March,14,31,1,3,1,0.0,0,BB,BEL,Groups,Direct,0,0,0,A,A,2,Refundable,,223.0,0,Transient-Party,60.0,0,0,0
City Hotel,11,February,8,24,0,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,118.0,0,0,0
City Hotel,55,September,37,6,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,75.0,0,0,1
City Hotel,34,August,32,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,1
City Hotel,135,June,26,30,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,,0,Transient,130.0,0,0,1
City Hotel,19,September,38,12,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,51.0,0,Transient,68.5,0,0,0
Resort Hotel,28,August,36,31,1,2,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,98.0,0,2,0
City Hotel,396,June,26,25,2,0,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,122.4,0,1,0
City Hotel,69,September,37,9,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,B,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,0
Resort Hotel,106,March,13,24,1,3,2,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,68.0,,0,Transient,84.0,0,0,1
City Hotel,159,July,30,19,0,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,105.3,1,0,0
Resort Hotel,13,July,30,24,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,20.0,0,Transient,135.0,0,0,0
City Hotel,99,February,8,14,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient,79.5,0,2,0
City Hotel,134,June,24,15,2,5,2,1.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,138.86,0,1,0
City Hotel,49,July,29,11,1,0,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.15,0,0,1
City Hotel,55,October,44,29,0,1,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,82.47,0,1,0
City Hotel,57,June,24,10,1,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,,0,Transient-Party,75.33,0,0,0
City Hotel,17,December,51,11,2,0,1,0.0,0,SC,PRT,Direct,TA/TO,1,0,1,A,A,1,No Deposit,,,0,Transient,88.0,0,1,0
Resort Hotel,266,February,7,18,2,3,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,240.0,,0,Transient,87.0,0,1,1
City Hotel,0,March,11,6,2,4,1,0.0,0,SC,COL,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,97.0,0,0,0
City Hotel,40,September,38,13,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,94.5,0,2,1
City Hotel,95,August,33,19,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,98.0,,0,Transient-Party,115.0,0,0,1
City Hotel,182,April,18,27,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3.0,,50,Transient,75.0,0,0,1
City Hotel,418,September,40,26,1,2,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,132.0,,223,Transient-Party,86.0,0,0,0
City Hotel,17,March,11,18,1,1,2,0.0,0,BB,SWE,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,233.0,0,1,0
Resort Hotel,0,January,2,11,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,68.0,0,0,0
City Hotel,1,June,22,3,0,1,2,2.0,0,BB,PRT,Complementary,Direct,0,0,0,G,G,0,No Deposit,45.0,,0,Transient,0.0,0,0,0
City Hotel,22,July,29,17,1,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,140.0,0,0,1
Resort Hotel,1,February,9,26,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,67.0,0,2,0
City Hotel,342,September,39,24,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0,1
City Hotel,31,October,44,25,2,0,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,92.4,0,0,0
Resort Hotel,289,March,14,27,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,45.36,0,0,0
Resort Hotel,183,June,26,27,0,4,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient,104.1,0,0,1
City Hotel,156,August,31,3,2,3,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,122.5,0,0,1
City Hotel,150,October,45,30,2,0,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,80.1,0,0,1
City Hotel,47,March,12,20,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,67.15,0,1,0
